date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label
2026-05-02,Seismic,Seismic line 2000,15,0502-S2000-15,-91.5861551618,41.6654440334,212.838,2000_15
2026-05-02,Seismic,Seismic line 2000,16,0502-S2000-16,-91.5861785551,41.6654481221,213.264,2000_16
2026-05-02,Seismic,Seismic line 2000,17,0502-S2000-17,-91.5862019483,41.6654522107,213.356,2000_17
2026-05-02,Seismic,Seismic line 2000,18,0502-S2000-18,-91.5862253415,41.6654562994,213.427,2000_18
2026-05-02,Seismic,Seismic line 2000,19,0502-S2000-19,-91.5862487469,41.6654603792,213.478,2000_19
2026-05-02,Seismic,Seismic line 2000,20,0502-S2000-20,-91.5862721401,41.6654644679,212.845,2000_20
2026-05-02,Seismic,Seismic line 2000,21,0502-S2000-21,-91.5862955334,41.6654685565,212.263,2000_21
2026-05-02,Seismic,Seismic line 2000,22,0502-S2000-22,-91.5863189268,41.6654726361,212.263,2000_22
2026-05-02,Seismic,Seismic line 2000,23,0502-S2000-23,-91.5863423200,41.6654767248,212.263,2000_23
2026-05-02,Seismic,Seismic line 2000,24,0502-S2000-24,-91.5863657133,41.6654808134,212.263,2000_24
2026-05-02,Seismic,Seismic line 2000,25,0502-S2000-25,-91.5863891065,41.6654849020,212.263,2000_25
2026-05-02,Seismic,Seismic line 2000,26,0502-S2000-26,-91.5864124999,41.6654889817,212.263,2000_26
2026-05-02,Seismic,Seismic line 2000,27,0502-S2000-27,-91.5864358932,41.6654930703,212.263,2000_27
2026-05-02,Seismic,Seismic line 2000,28,0502-S2000-28,-91.5864592864,41.6654971589,212.263,2000_28
2026-05-02,EM,EM line 1,L1-01,0502-EM1-01,-91.5868576543,41.6654668229,216.300,line 1_1
2026-05-02,EM,EM line 1,L1-02,0502-EM1-02,-91.5868626558,41.6655248256,216.270,line 1_2
2026-05-02,EM,EM line 1,L1-03,0502-EM1-03,-91.5868696561,41.6655738190,214.730,line 1_3
2026-05-02,EM,EM line 1,L1-04,0502-EM1-04,-91.5868806543,41.6656108193,215.950,line 1_4
2026-05-02,EM,EM line 1,L1-05,0502-EM1-05,-91.5868916542,41.6656598258,216.920,line 1_5
2026-05-02,EM,EM line 1,L1-06,0502-EM1-06,-91.5868926541,41.6657058272,217.540,line 1_6
2026-05-02,EM,EM line 1,L1-07,0502-EM1-07,-91.5869036636,41.6657368201,217.610,line 1_7
2026-05-02,EM,EM line 1,L1-08,0502-EM1-08,-91.5869076565,41.6657838220,217.400,line 1_8
2026-05-02,EM,EM line 1,L1-09,0502-EM1-09,-91.5869256632,41.6658178192,217.690,line 1_9
2026-05-02,EM,EM line 1,L1-10,0502-EM1-10,-91.5869326569,41.6658638222,217.750,line 1_10
2026-05-02,EM,EM line 1,L1-11,0502-EM1-11,-91.5869356594,41.6659138202,217.770,line 1_11
2026-05-02,EM,EM line 1,L1-12,0502-EM1-12,-91.5869476654,41.6659558227,217.820,line 1_12
2026-05-02,EM,EM line 1,L1-13,0502-EM1-13,-91.5869636599,41.6660148252,219.030,line 1_13
2026-05-02,EM,EM line 1,L1-14,0502-EM1-14,-91.5869696558,41.6660548264,219.410,line 1_14
2026-05-02,EM,EM line 1,L1-15,0502-EM1-15,-91.5869726646,41.6660798214,219.410,line 1_15
2026-05-02,EM,EM line 2,L2-01,0502-EM2-01,-91.5870296598,41.6660908260,218.690,line 2_1
2026-05-02,EM,EM line 2,L2-02,0502-EM2-02,-91.5870246584,41.6660608257,218.180,line 2_2
2026-05-02,EM,EM line 2,L2-03,0502-EM2-03,-91.5870036599,41.6660208202,218.520,line 2_3
2026-05-02,EM,EM line 2,L2-04,0502-EM2-04,-91.5869956614,41.6659768224,218.110,line 2_4
2026-05-02,EM,EM line 2,L2-05,0502-EM2-05,-91.5869946542,41.6659498254,217.910,line 2_5
2026-05-02,EM,EM line 2,L2-06,0502-EM2-06,-91.5869856600,41.6659008255,217.550,line 2_6
2026-05-02,EM,EM line 2,L2-07,0502-EM2-07,-91.5869756578,41.6658578209,217.150,line 2_7
2026-05-02,EM,EM line 2,L2-08,0502-EM2-08,-91.5869786601,41.6658018260,216.780,line 2_8
2026-05-02,EM,EM line 2,L2-09,0502-EM2-09,-91.5869716630,41.6657598220,213.670,line 2_9
2026-05-02,EM,EM line 2,L2-10,0502-EM2-10,-91.5869636602,41.6657138246,216.170,line 2_10
2026-05-02,EM,EM line 2,L2-11,0502-EM2-11,-91.5869506595,41.6656728187,215.520,line 2_11
2026-05-02,EM,EM line 2,L2-12,0502-EM2-12,-91.5869426632,41.6656298206,215.700,line 2_12
2026-05-02,EM,EM line 2,L2-13,0502-EM2-13,-91.5869396647,41.6655928196,214.620,line 2_13
2026-05-02,EM,EM line 2,L2-14,0502-EM2-14,-91.5869226600,41.6655388215,214.270,line 2_14
2026-05-02,EM,EM line 2,L2-15,0502-EM2-15,-91.5869146582,41.6654988226,214.710,line 2_15
2026-05-02,EM,EM line 2,L2-16,0502-EM2-16,-91.5869126554,41.6654668236,214.740,line 2_16
2026-05-02,EM,EM line 3,L3-01,0502-EM3-01,-91.5869836603,41.6654688225,215.230,line 3_1
2026-05-02,EM,EM line 3,L3-02,0502-EM3-02,-91.5869966538,41.6655008215,215.730,line 3_2
2026-05-02,EM,EM line 3,L3-03,0502-EM3-03,-91.5869916602,41.6655358239,217.280,line 3_3
2026-05-02,EM,EM line 3,L3-04,0502-EM3-04,-91.5869986614,41.6655518251,218.160,line 3_4
2026-05-02,EM,EM line 3,L3-05,0502-EM3-05,-91.5870166638,41.6655838226,218.120,line 3_5
2026-05-02,EM,EM line 3,L3-06,0502-EM3-06,-91.5870236551,41.6656398232,217.820,line 3_6
2026-05-02,EM,EM line 3,L3-07,0502-EM3-07,-91.5870316654,41.6656948186,218.520,line 3_7
2026-05-02,EM,EM line 3,L3-08,0502-EM3-08,-91.5870276579,41.6657248253,218.570,line 3_8
2026-05-02,EM,EM line 3,L3-09,0502-EM3-09,-91.5870336538,41.6657648264,218.580,line 3_9
2026-05-02,EM,EM line 3,L3-10,0502-EM3-10,-91.5870346562,41.6658118186,218.720,line 3_10
2026-05-02,EM,EM line 3,L3-11,0502-EM3-11,-91.5870416591,41.6658398260,218.540,line 3_11
2026-05-02,EM,EM line 3,L3-12,0502-EM3-12,-91.5870416656,41.6658818251,219.490,line 3_12
2026-05-02,EM,EM line 3,L3-13,0502-EM3-13,-91.5870586553,41.6659288246,220.000,line 3_13
2026-05-02,EM,EM line 3,L3-14,0502-EM3-14,-91.5870646587,41.6659778238,219.630,line 3_14
2026-05-02,EM,EM line 3,L3-15,0502-EM3-15,-91.5870736650,41.6660268238,219.590,line 3_15
2026-05-02,EM,EM line 3,L3-16,0502-EM3-16,-91.5870846545,41.6660708223,219.590,line 3_16
2026-05-02,EM,EM line 4,L4-01,0502-EM4-01,-91.5871526630,41.6661368231,207.560,line 4_1
2026-05-02,EM,EM line 4,L4-02,0502-EM4-02,-91.5871616560,41.6660738225,0.000,line 4_2
2026-05-02,EM,EM line 4,L4-03,0502-EM4-03,-91.5871606596,41.6660128247,0.000,line 4_3
2026-05-02,EM,EM line 4,L4-04,0502-EM4-04,-91.5871546566,41.6659528192,0.000,line 4_4
2026-05-02,EM,EM line 4,L4-05,0502-EM4-05,-91.5871496577,41.6659018239,0.000,line 4_5
2026-05-02,EM,EM line 4,L4-06,0502-EM4-06,-91.5871546637,41.6658448269,0.000,line 4_6
2026-05-02,EM,EM line 4,L4-07,0502-EM4-07,-91.5871526624,41.6657968227,0.000,line 4_7
2026-05-02,EM,EM line 4,L4-08,0502-EM4-08,-91.5871436640,41.6657348259,0.000,line 4_8
2026-05-02,EM,EM line 4,L4-09,0502-EM4-09,-91.5871376543,41.6656828184,0.000,line 4_9
2026-05-02,EM,EM line 4,L4-10,0502-EM4-10,-91.5871216617,41.6656248248,0.000,line 4_10
2026-05-02,EM,EM line 4,L4-11,0502-EM4-11,-91.5871216544,41.6655768180,0.000,line 4_11
2026-05-02,EM,EM line 4,L4-12,0502-EM4-12,-91.5871266656,41.6655278192,0.000,line 4_12
2026-05-02,EM,EM line 4,L4-13,0502-EM4-13,-91.5871276560,41.6654858234,0.000,line 4_13
2026-05-02,EM,EM line 4,L4-14,0502-EM4-14,-91.5871266644,41.6654548185,0.000,line 4_14
2026-05-02,EM,EM line 5,L5-01,0502-EM5-01,-91.5872616576,41.6655248221,206.430,line 5_1
2026-05-02,EM,EM line 5,L5-02,0502-EM5-02,-91.5872506594,41.6655658213,204.700,line 5_2
2026-05-02,EM,EM line 5,L5-03,0502-EM5-03,-91.5872426629,41.6656118201,205.030,line 5_3
2026-05-02,EM,EM line 5,L5-04,0502-EM5-04,-91.5872456640,41.6656388236,205.000,line 5_4
2026-05-02,EM,EM line 5,L5-05,0502-EM5-05,-91.5872416658,41.6657008228,205.000,line 5_5
2026-05-02,EM,EM line 5,L5-06,0502-EM5-06,-91.5872416585,41.6657308246,205.000,line 5_6
2026-05-02,EM,EM line 5,L5-07,0502-EM5-07,-91.5872406658,41.6657828180,205.910,line 5_7
2026-05-02,EM,EM line 5,L5-08,0502-EM5-08,-91.5872316567,41.6658328215,205.910,line 5_8
2026-05-02,EM,EM line 5,L5-09,0502-EM5-09,-91.5872296626,41.6658828212,206.080,line 5_9
2026-05-02,EM,EM line 5,L5-10,0502-EM5-10,-91.5872286611,41.6659308245,206.080,line 5_10
2026-05-02,EM,EM line 5,L5-11,0502-EM5-11,-91.5872256570,41.6659748221,207.080,line 5_11
2026-05-02,EM,EM line 5,L5-12,0502-EM5-12,-91.5872256593,41.6660148217,207.460,line 5_12
2026-05-02,EM,EM line 5,L5-13,0502-EM5-13,-91.5872196603,41.6660458216,209.230,line 5_13
2026-05-02,EM,EM line 5,L5-14,0502-EM5-14,-91.5872196539,41.6660818220,209.230,line 5_14
2026-05-02,EM,EM line 5,L5-15,0502-EM5-15,-91.5872206623,41.6661038202,209.230,line 5_15
2026-05-02,EM,EM line 6,L6-01,0502-EM6-01,-91.5873036550,41.6661278258,209.440,line 6_1
2026-05-02,EM,EM line 6,L6-02,0502-EM6-02,-91.5873026560,41.6660768257,209.790,line 6_2
2026-05-02,EM,EM line 6,L6-03,0502-EM6-03,-91.5873096615,41.6660558267,209.530,line 6_3
2026-05-02,EM,EM line 6,L6-04,0502-EM6-04,-91.5873156559,41.6660338246,208.970,line 6_4
2026-05-02,EM,EM line 6,L6-05,0502-EM6-05,-91.5873226642,41.6659918216,208.300,line 6_5
2026-05-02,EM,EM line 6,L6-06,0502-EM6-06,-91.5873346586,41.6659448181,208.490,line 6_6
2026-05-02,EM,EM line 6,L6-07,0502-EM6-07,-91.5873346653,41.6658868229,208.440,line 6_7
2026-05-02,EM,EM line 6,L6-08,0502-EM6-08,-91.5873406568,41.6658468250,208.130,line 6_8
2026-05-02,EM,EM line 6,L6-09,0502-EM6-09,-91.5873426559,41.6658158209,207.600,line 6_9
2026-05-02,EM,EM line 6,L6-10,0502-EM6-10,-91.5873506632,41.6657748210,207.560,line 6_10
2026-05-02,EM,EM line 6,L6-11,0502-EM6-11,-91.5873506640,41.6657418198,207.080,line 6_11
2026-05-02,EM,EM line 6,L6-12,0502-EM6-12,-91.5873506651,41.6656978213,206.700,line 6_12
